daily_neg,daily_conf
6,6035
5,7434
5,8523
11,9985
8,9938
8,8489
7,10641
14,9834
25,10406
17,12027
7,12057
17,12717
11,10625
15,9765
11,10972
13,13307
12,15144
22,13494
22,13013
12,12364
10,14104
16,15845
13,18262
17,19114
7,20634
20,19202
16,16840
18,18607
17,21088
19,23275
12,29079
14,28680
29,25308
13,20088
8,22195
14,30004
31,33552
21,40261
15,37892
26,38905
13,33355
10,37535
14,38598
16,41342
33,55761
20,48682
30,47525
16,45533
15,46169
14,54940
23,59937
13,68053
13,52618
21,62322
26,60916
16,58784
3,54990
21,111009
7,55892
6,50023
9,53135
9,41385
8,32340
4,34693
17,32725
12,39036
15,39237
6,36803
15,33364
12,35928
25,27052
6,28507
6,35383
10,25161
14,18450
4,20263
22,18447
37,21501
22,21672
5,20964
4,16578
12,12281
4,14718
9,17271
16,15539
6,16298
17,14878
17,16170
11,13429
