daily_neg,confirmed_daily
21,40415
28,44378
19,32830
17,38933
23,45568
22,53192
14,47816
43,37655
35,40476
27,50797
38,39944
60,43288
36,49342
25,45422
42,38354
49,39411
18,33576
32,34331
29,42290
31,48231
63,34684
72,35058
66,25386
73,24681
60,31253
70,43858
111,51087
84,37017
57,39830
78,43683
51,34898
58,34836
95,45535
69,46806
99,46252
222,42377
82,40742
66,35388
58,34735
74,44960
95,49497
94,44543
90,43598
217,42972
58,35201
70,40739
77,50379
109,65059
82,51395
84,52327
89,52868
84,45532
53,49108
76,55883
85,61391
76,57359
91,55250
76,55347
68,46329
66,46340
76,59978
54,68390
53,68409
58,68164
65,63960
72,56479
73,57377
61,66077
97,75077
66,67964
73,70110
74,66018
70,59942
80,61954
66,64711
78,72063
81,75921
72,67885
79,66977
52,57512
67,60783
62,61278
128,67897
152,60795
58,59197
52,58911
67,46236
67,49464
91,48387
61,54389
85,54870
80,51011
49,47327
66,39812
127,42046
91,42138
70,46267
66,40402
66,36539
52,36398
60,31512
40,26268
77,33105
88,31894
80,27912
69,27191
63,23990
62,18603
50,19630
51,25578
54,26127
43,22088
40,21535
78,18022
81,16598
39,18749
67,22815
47,29888
89,21477
51,19868
68,21067
50,20458
85,19908
46,24646
74,24755
76,21911
57,19331
42,18268
65,18819
53,20862
137,21238
172,23863
76,25672
54,23188
76,20159
68,21689
81,19345
61,25059
92,25199
155,26814
93,20944
127,22192
78,18044
50,19781
124,25320
70,27450
136,28694
123,24053
166,24118
106,22682
103,25160
128,28925
142,34213
