daily_negative,conf_daily
1,33376
4,147333
1,81714
4,177027
1,165692
1,90822
5,37593
1,152515
12,96745
1,32937
1,36083
9,78787
1,79548
3,102773
2,199427
1,40134
2,127710
1,43509
3,112704
1,78839
1,35342
5,41383
4,72108
3,38164
2,79236
2,38949
4,41733
4,71771
1,78660
1,42766
5,133018
1,74499
1,43071
2,44111
3,46617
9,132303
1,96188
3,100365
1,54069
1,93488
1,53449
7,58226
2,60753
9,62480
9,67208
7,62224
6,60471
1,70421
4,80834
15,84332
10,92291
7,93463
3,92596
5,86498
4,100636
1,114460
22,120529
6,132364
4,134154
3,132788
6,127510
2,152734
2,165553
10,173790
3,186364
12,211298
6,208921
11,196427
7,222315
6,240842
8,257299
9,259551
6,276110
7,267334
5,263533
7,281386
8,311170
12,326098
16,343144
3,362727
7,348421
7,329942
4,366494
3,403405
19,401078
8,414188
10,412431
8,382146
12,357316
2,368060
6,392488
11,401993
2,386555
6,379308
6,360927
4,323023
9,352991
8,349691
13,346786
8,332921
10,314644
9,295158
16,259167
6,273802
5,261394
10,234692
9,217353
8,200739
10,184372
8,161736
12,168912
2,152879
9,145384
7,131968
12,126789
7,115736
10,96982
5,103558
2,93249
13,89129
10,81466
3,72330
6,53480
6,56211
3,68020
3,62714
6,62258
9,59118
8,53476
8,47262
3,87666
3,43846
8,40953
6,39726
4,35871
4,28903
7,24492
6,26291
2,25320
4,104330
1,89882
1,42785
1,16752
9,16488
8,16577
5,30480
1,10584
1,14199
4,14264
6,13993
4,13193
5,24491
2,9121
1,11649
1,12194
1,12143
2,9309
9,12923
3,44067
6,11713
1,12408
5,12899
4,44154
4,13082
4,18855
4,75765
1,53655
1,28932
4,47694
1,28552
1,16311
1,36867
5,0
4,18139
1,20346
5,34463
2,16504
3,79113
8,57002
1,41005
5,47779
1,23950
5,19556
3,24337
1,26624
8,48042
2,72457
1,27071
1,89658
1,31521
1,32080
1,59548
2,36011
2,215292
2,170703
1,126410
1,182899
4,67780
2,116332
4,92784
4,44281
2,38073
1,45903
4,96030
4,144101
14,38310
1,45231
1,46963
2,48268
4,98529
1,80363
2,45148
5,50129
1,53370
2,54366
5,109883
1,46790
2,117593
7,62212
2,63371
1,67708
9,63509
2,55342
2,66732
3,147655
4,70496
1,78524
3,133316
1,74442
1,236789
5,86821
5,151061
1,82170
1,173962
11,86052
2,169855
10,254649
8,93337
1,96424
3,271826
6,0
1,92071
7,94372
4,97570
5,96551
11,95735
9,89706
1,75809
5,90802
22,90632
13,86432
3,83341
10,83883
11,78357
8,69921
35,78512
14,78761
5,76472
8,77266
8,85687
5,57224
5,60975
3,61408
6,69239
9,69876
7,68900
15,69672
5,64572
7,55018
8,57711
6,64030
8,64732
9,64553
5,66999
8,60963
10,53601
14,62064
9,64399
10,61537
4,62538
12,56282
5,52509
8,52050
7,52972
8,54735
6,61242
10,52783
11,98807
5,3083
7,44457
10,49981
6,48611
13,48916
6,49310
5,45720
21,37740
23,37132
7,40425
14,38697
7,35252
7,34975
1,32676
8,29429
7,28498
16,28732
10,28606
5,27114
48,26506
18,24879
14,22753
36,22251
8,24248
8,24850
7,22771
9,20903
7,19148
3,18653
7,18522
7,19459
8,19906
6,18552
8,17296
9,16922
3,15968
18,14933
10,14821
6,15413
11,14516
15,13586
17,12881
13,10974
13,22169
7,11929
12,11458
9,0
11,20952
9,437
10,10218
10,8442
6,10864
14,10438
26,9471
6,9889
13,9633
14,8821
12,7761
5,8782
8,8336
11,8105
4,7300
4,7293
4,5843
3,6414
7,7113
12,6629
8,6568
8,6198
7,5553
6,6147
22,4630
16,5050
22,4864
12,3787
14,3942
3,3763
5,3524
7,3607
2,4353
2,3113
10,3344
16,3364
11,3587
4,2963
8,3932
14,2806
18,2442
12,2394
9,1801
6,1738
9,1873
10,1561
8,1607
7,1753
4,1453
8,1707
28,1290
31,1541
1,924
2,1893
2,1370
60,922
30,1108
31,835
56,1034
111,1248
111,759
56,848
55,873
88,809
59,605
112,533
90,1190
90,506
138,515
7,24
6,545
6,601
